"Unidades de Ensino",,,,
"Nome","Bairro","Cidade","Estado","Ativo"
"Curitiba – Boqueirão","Boqueirão","Curitiba","PR",1
"Curitiba – CIC","CIC","Curitiba","PR",1
"Curitiba - Alto da Glória","Alto da Glória","Curitiba","PR",1
"Curitiba – Portão","Portão","Curitiba","PR",1
